name,reason,smiles
1-hexadecanol,qc_incompatible,
1-hexadecanol,qc_incompatible,
1-hexadecanol,qc_incompatible,
1-octanol,qc_incompatible,
1-octanol,qc_incompatible,
"1,4-butanediol",qc_incompatible,
"2-ethyl-1,3-hexanediol",qc_incompatible,
"2-ethyl-1,3-hexanediol",qc_incompatible,
"2-ethyl-1,3-hexanediol",qc_incompatible,
2-octyldodecan-1-ol,qc_incompatible,
2-octyldodecan-1-ol,qc_incompatible,
2-octyldodecan-1-ol,qc_incompatible,
2-oxoglutaric-acid,qc_incompatible,
2-oxoglutaric-acid,qc_incompatible,
"2,6-dimethylpiperidine",qc_incompatible,
"2,6-dimethylpiperidine",qc_incompatible,
3-bromopyruvate,qc_incompatible,
3-bromopyruvate,qc_incompatible,
3-CPMT,invalid_smiles,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)O[C@H](c1ccccc1)c1ccc(Cl)cc1 |&1:2,5,7,&2:10,r,THB:0:1:3.4:6.7.8|"
acamprosate,qc_incompatible,
acamprosate,qc_incompatible,
acamprosate,qc_incompatible,
acetarsol,unsupported_docking_elements:As,CC(=O)Nc1cc(ccc1O)[As](O)(O)=O
acetarsol,unsupported_docking_elements:As,CC(=O)Nc1cc(ccc1O)[As](O)(O)=O
acetarsol,unsupported_docking_elements:As,CC(=O)Nc1cc(ccc1O)[As](O)(O)=O
acetohydroxamic-acid,qc_incompatible,
acetylcysteine,qc_incompatible,
acetylcysteine,qc_incompatible,
acriflavine,multi_fragment_structure,Nc1ccc2cc3ccc(N)cc3nc2c1.C[n+]1c2cc(N)ccc2cc2ccc(N)cc12
acriflavine,multi_fragment_structure,Nc1ccc2cc3ccc(N)cc3nc2c1.C[n+]1c2cc(N)ccc2cc2ccc(N)cc12
acrisorcin,multi_fragment_structure,CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12
acrylate,qc_incompatible,
agmatine,qc_incompatible,
agmatine,qc_incompatible,
alcuronium,invalid_smiles,"OC\C=C1/C[N@+]2(CC=C)CC[C@@]34[C@@H]2C[C@@H]1\C1=C\N2[C@@H]5\C(=C/N([C@@H]31)c1ccccc41)[C@H]1C[C@H]3[C@@]5(CC[N@@+]3(CC=C)C\C1=C/CO)c1ccccc21 |a:5,11,12,14,29,31,32,35,&1:18,&2:22,c:21,t:17,TLB:2:3:13:11.15.22,20:19:30:35.39.40,10:11:3.4.5:13,41:40:30:18.19.32,28:11:3.4.5:13,THB:34:35:30:18.19.32,16:15:3.4.5:13,33:32:30:35.39.40,36:35:30:18.19.32,6:5:13:11.15.22,9:5:13:11.15.22,44:32:30:35.39.40|"
alendronate,qc_incompatible,
alendronate,qc_incompatible,
alendronate,qc_incompatible,
alendronate,qc_incompatible,
alendronate,qc_incompatible,
allicin,qc_incompatible,
allylisothiocyanate,qc_incompatible,
allylisothiocyanate,qc_incompatible,
amifostine,qc_incompatible,
ammonium-lactate,qc_incompatible,
ammonium-lactate,qc_incompatible,
amylene-hydrate,qc_incompatible,
amylene-hydrate,qc_incompatible,
anisodamine,invalid_smiles,"CN1[C@H]2C[C@H](O)[C@H]1C[C@H](C2)OC(=O)[C@H](CO)c1ccccc1 |a:4,6,8,13,&1:2,THB:5:4:1:7.8.9|"
anisodamine,invalid_smiles,"CN1[C@H]2C[C@H](O)[C@H]1C[C@H](C2)OC(=O)[C@H](CO)c1ccccc1 |a:4,6,8,13,&1:2,THB:5:4:1:7.8.9|"
antimony-potassium,unsupported_docking_elements:Sb,[H][C@]12O[SbH]3(OC1=O)OC(=O)[C@]([H])(O3)[C@@]1([H])O[SbH]3(OC(=O)[C@]2([H])O3)OC1=O |r|
antimonyl,qc_incompatible,
antimonyl,qc_incompatible,
arsanilic-acid,unsupported_docking_elements:As,Nc1ccc(cc1)[As](O)(O)=O
arsanilic-acid,unsupported_docking_elements:As,Nc1ccc(cc1)[As](O)(O)=O
arsenic-trioxide,unsupported_docking_elements:As,O=[As]O[As]=O
atropine,invalid_smiles,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@@H](CO)c1ccccc1 |a:2,5,7,&1:12,THB:9:7:1:3.4|"
