library_id,name,pert_iname,smiles,canonical_smiles,inchikey,mw,clogp,tpsa,hbd,hba,rotatable_bonds,clinical_phase,moa,indication,dedupe_key,clinical_rank,bms_inclusion_mode
LIB100_0001,altretamine,altretamine,CN(C)c1nc(nc(n1)N(C)C)N(C)C,CN(C)c1nc(N(C)C)nc(N(C)C)n1,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,210.285,0.0696,48.39,0,6,3,Launched,DNA synthesis inhibitor,ovarian cancer,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,0,
LIB100_0002,bendroflumethiazide,bendroflumethiazide,"NS(=O)(=O)c1cc2c(N[C@@H](Cc3ccccc3)NS2(=O)=O)cc1C(F)(F)F |&1:9,r|",NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N[C@@H](Cc1ccccc1)NS2(=O)=O,HDWIHXWEUNVBIY-CQSZACIVSA-N,421.422,1.6254,118.36,3,5,3,Launched,sodium/potassium/chloride transporter inhibitor,hypertension,HDWIHXWEUNVBIY-CQSZACIVSA-N,0,
LIB100_0003,biapenem,biapenem,"C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(SC3Cn4cnc[n+]4C3)=C(N2C1=O)C(O)=O |a:1,3,4,5,&1:9,c:18|",C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,MRMBZHPJVKCOMA-YJFSRANCSA-O,351.408,-0.5603,99.54,2,6,4,Launched,bacterial cell wall synthesis inhibitor,bacterial septicemia|pneumonia|urinary tract infections,MRMBZHPJVKCOMA-YJFSRANCSA-O,0,
LIB100_0004,cetrimonium,cetrimonium,CCCCCCCCCCCCCCCC[N+](C)(C)C,CCCCCCCCCCCCCCCC[N+](C)(C)C,RLGQACBPNDBWTB-UHFFFAOYSA-N,284.552,6.1739,0.0,0,0,15,Launched,,cosmetic,RLGQACBPNDBWTB-UHFFFAOYSA-N,0,
LIB100_0005,cyclophosphamide,cyclophosphamide,ClCCN(CCCl)[P@@]1(=O)NCCCO1 |r|,O=[P@]1(N(CCCl)CCCl)NCCCO1,CMSMOCZEIVJLDB-CQSZACIVSA-N,261.089,1.884,41.57,1,2,5,Launched,DNA alkylating agent,Hodgkin's lymphoma|small lymphocytic lymphoma (SLL)|breast cancer|neuroblastoma|Burkitt's lymphoma|multiple myeloma|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)|chronic myeloid leukemia (CML)|true histiocytic lymphoma (THL)|retinoblastoma|ovarian cancer,CMSMOCZEIVJLDB-CQSZACIVSA-N,0,
LIB100_0006,dihydroartemisinin,dihydroartemisinin,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,C[C@H]1[C@@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,BJDCWCLMFKKGEE-ISOSDAIHSA-N,284.352,2.1867,57.15,1,5,0,Launched,antimalarial agent,malaria,BJDCWCLMFKKGEE-ISOSDAIHSA-N,0,
LIB100_0007,diphemanil,diphemanil,C[N+]1(C)CCC(CC1)=C(c1ccccc1)c1ccccc1,C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,LCTZPQRFOZKZNK-UHFFFAOYSA-N,278.419,4.3587,0.0,0,0,2,Launched,acetylcholine receptor antagonist,spasms,LCTZPQRFOZKZNK-UHFFFAOYSA-N,0,
LIB100_0008,disulfiram,disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,296.552,3.6212,6.48,0,4,4,Launched,aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist,abstinence from alcohol,AUZONCFQVSMFAP-UHFFFAOYSA-N,0,
LIB100_0009,epinastine,epinastine,"NC1=NC[C@H]2N1c1ccccc1Cc1ccccc21 |&1:4,t:1|",NC1=NC[C@@H]2c3ccccc3Cc3ccccc3N12,WHWZLSFABNNENI-OAHLLOKOSA-N,249.317,2.4668,41.62,1,3,0,Launched,histamine receptor antagonist,conjunctivitis,WHWZLSFABNNENI-OAHLLOKOSA-N,0,
LIB100_0010,gemigliptin,gemigliptin,N[C@H](CN1CC(F)(F)CCC1=O)CC(=O)N1CCc2c(C1)nc(nc2C(F)(F)F)C(F)(F)F,N[C@@H](CC(=O)N1CCc2c(nc(C(F)(F)F)nc2C(F)(F)F)C1)CN1CC(F)(F)CCC1=O,ZWPRRQZNBDYKLH-VIFPVBQESA-N,489.367,2.374,92.42,1,5,4,Launched,dipeptidyl peptidase inhibitor,,ZWPRRQZNBDYKLH-VIFPVBQESA-N,0,
LIB100_0011,halobetasol-propionate,halobetasol-propionate,"CCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CCl |c:18,t:14|",CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,BDSYKGHYMJNPAB-LICBFIPMSA-N,484.967,4.0511,80.67,1,5,4,Launched,glucocorticoid receptor agonist,corticosteroid-responsive dermatoses,BDSYKGHYMJNPAB-LICBFIPMSA-N,0,
LIB100_0012,lindane,lindane,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,290.832,3.6444,0.0,0,0,0,Launched,,scabies,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,0,
LIB100_0013,meclocycline-sulfosalicylate,meclocycline-sulfosalicylate,"CN(C)[C@H]1[C@@H]2[C@@H](O)[C@@H]3C(=C)c4c(Cl)ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(O)=C(C(N)=O)C1=O |a:3,4,5,7,23,&1:20,&2:27,t:22,29|",C=C1c2c(Cl)ccc(O)c2C(=O)C2=C(O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12,MEFKOOXNVFALTA-IWVLMIASSA-N,476.869,0.2155,181.62,6,9,2,Launched,bacterial 50S ribosomal subunit inhibitor,acne vulgaris (AV)|skin infections,MEFKOOXNVFALTA-IWVLMIASSA-N,0,
