name,wt_affinity,mut_affinity,wt_dist,mut_dist,delta_affinity,delta_dist,ghost_clash_dist,ghost_clash
NU-6027,-5.806,-5.551,3.3226099059239,3.3910301523174424,0.2549999999999999,0.0684202463935426,3.3910301523174424,False
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",-5.767,-5.765,4.984639446847548,4.989948553828362,0.002000000000000668,0.0053091069808139935,4.989948553828362,False
IEM1754,-5.368,-5.304,3.633666769487829,2.6236651671296176,0.06400000000000006,-1.0100016023582112,2.6236651671296176,False
ifosfamide,-3.791,-4.395,3.125901441590792,0.8742854367607856,-0.6039999999999996,-2.2516160048300065,0.8742854367607856,True
ZSTK-474,-4.632,-6.083,6.8751797646973944,0.6307949537652692,-1.4510000000000005,-6.244384810932125,0.6307949537652692,True
GAL-021,-4.75,-4.509,2.837625846445851,1.1654561952935247,0.24099999999999966,-1.672169651152326,1.1654561952935247,True
oxymatrine,-5.267,-6.126,3.4963156191861744,1.644840032629232,-0.859,-1.8514755865569423,1.644840032629232,True
phenytoin,-6.292,-7.636,3.5561189365856265,0.7384219621397221,-1.3440000000000003,-2.817696974445904,0.7384219621397221,True
motapizone,-5.589,-5.503,4.2379559337741775,4.274462891524034,0.0860000000000003,0.03650695774985646,4.274462891524034,False
savolitinib,-6.457,-6.378,4.387691820590973,0.17172031679910352,0.07899999999999974,-4.215971503791869,0.17172031679910352,True
zolmitriptan,-6.187,-6.363,3.364634371610005,2.1591929861288466,-0.17600000000000016,-1.2054413854811585,2.1591929861288466,True
GPi-688,-4.913,-5.345,3.0293452590882053,0.8595858438967393,-0.4319999999999995,-2.169759415191466,0.8595858438967393,True
BMS-986205,-7.159,-7.567,3.597935,2.159075,-0.408,-1.43886,2.159075,True
