library_id,name,ghost_clash_dist,ghost_warning,claim_boundary
LIB100_0009,epinastine,2.343287691650376,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0002,bendroflumethiazide,3.2652102045597786,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0067,4E1RCat,3.8604217961094847,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0054,siramesine,2.2529533664431436,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0037,eldecalcitol,3.144899638635585,moderate,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0083,TCS-2002,2.1477020411702386,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0069,BW-348U87,2.8811904814013265,moderate,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0036,diminazene-aceturate,3.2413009035936415,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0060,sanguinarium-chloride,2.6247217147468467,moderate,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0045,MBX-2982,5.0119608967983345,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0042,tucatinib,3.0450565464975474,moderate,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0041,relugolix,5.784074599677902,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0031,BMS-986205,2.6062349505117703,moderate,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0082,Ro-3306,3.045483709516756,moderate,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0076,JNJ-42041935,3.639173949765359,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0034,baloxavir,7.122544371501249,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0013,meclocycline-sulfosalicylate,11.351000582952619,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0011,halobetasol-propionate,6.542420285932674,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0078,MCC950,1.039730232385439,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0018,perfluorodecalin,2.9285269555987243,moderate,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0043,ADX-10059,1.4045107721419723,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0070,D609,5.426429994628324,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0099,usniacin-(+),3.929175588430359,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0027,terbinafine,1.493914875112479,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0015,obidoxime,3.6806327389344875,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0032,MF-101,3.3718505932388774,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0052,oleuropein,2.5421002586214243,moderate,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0088,bilobalide,3.240747496182622,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0059,ammonium-perfluorocaprylate,3.3735020061399097,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0081,NSP-805,1.4883522271560625,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0065,"4,4'-DDT",1.0155110480840621,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0003,biapenem,3.9728169759805128,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0048,delphinidin,1.419559097677287,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0068,AG-1024,1.306494868575018,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0047,YM-511,0.5615060508985213,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0100,PLX8394,1.628165409776341,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0033,SQ-109,1.0071548592098536,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0020,pralatrexate,1.5798049237793867,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0038,ganetespib,0.7421455662695473,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0066,"4,5,6,7-tetrabromobenzotriazole",3.6042043436061073,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0085,aloperine,2.982795537091685,moderate,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0091,indirubin-3-monoxime,2.211498812753232,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0072,GNTI,2.357684508367562,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0016,omega-3-acid-esters,2.4058011398071097,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0094,metaphit,0.7291159619478517,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0077,LY255283,2.465868303115725,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0024,sulfachlorpyridazine,4.690532028041629,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0010,gemigliptin,0.8718233610829808,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0092,iodophenpropit,0.4204874186216587,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0074,HJC-0350,1.4843879331773284,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0017,peramivir,1.5089968929976358,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0089,chloralose,4.074200805183444,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0039,marimastat,2.357899472080978,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0075,IKK-2-inhibitor,3.949035646816141,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0097,symclosene,3.780101467877744,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0087,ansamitocin-p-3,0.9823139502583024,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0071,GDC-0879,0.5363460009442741,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0030,topiramate,3.0752949703751673,moderate,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0014,metrizoic-acid,3.6960325772760005,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0073,GS-39783,0.4348275486723461,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0005,cyclophosphamide,2.7535046508648473,moderate,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0086,alpha-asarone,2.315172158304487,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0098,transcrocetinate,0.7443834794552631,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0049,docebenone,1.4536938052674582,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0064,"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",1.7061813572302562,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0029,tiabendazole,2.1838270199149346,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0057,MKT-077,1.7577183537372398,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0026,temefos,4.9444173459025835,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0096,spermine,2.5661421586020174,moderate,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0051,nemazoline,1.2096582893658807,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0023,saxagliptin,1.8193740898691124,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0061,tifenazoxide,2.2051457917607706,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0004,cetrimonium,0.3932202696321186,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0090,g-caryophyllene,1.9994430323174572,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0028,thiopental,1.9939574982101207,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0046,TMC647055,10.18739124865412,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0040,oltipraz,1.440791200513414,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0080,NS-3861,2.1033856640061357,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0008,disulfiram,1.8852860676603889,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0025,talipexole,2.2917191267556922,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0021,propatylnitrate,2.281859127213076,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0084,U-0124,5.575232955827806,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0035,dimesna,6.169361088101512,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0056,CNQX,8.738134894885889,none,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0012,lindane,1.4304467189320615,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0095,soraprazan,0.7035109878712985,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
LIB100_0079,NBI-27914,1.2117157729184829,severe,warning_only_until_stage3_stage4_standalone_methods_reconciled
