library_id,name,wt_affinity,wt_output,bms_inclusion_mode,selection_reason
LIB100_0009,epinastine,-8.051,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0009_wt.pdbqt,,top20_wt;wt_threshold;prespecified_bms
LIB100_0054,siramesine,-7.923,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0054_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0002,bendroflumethiazide,-7.76,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0002_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0031,BMS-986205,-7.724,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0031_wt.pdbqt,clinical_hypothesis_override,top20_wt;prespecified_bms
LIB100_0083,TCS-2002,-7.517,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0083_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0100,PLX8394,-7.218,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0100_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0032,MF-101,-7.216,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0032_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0067,4E1RCat,-7.169,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0067_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0018,perfluorodecalin,-7.077,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0018_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0077,LY255283,-7.072,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0077_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0081,NSP-805,-7.002,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0081_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0036,diminazene-aceturate,-6.905,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0036_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0047,YM-511,-6.865,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0047_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0049,docebenone,-6.857,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0049_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0060,sanguinarium-chloride,-6.785,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0060_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0042,tucatinib,-6.772,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0042_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0027,terbinafine,-6.757,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0027_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0043,ADX-10059,-6.701,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0043_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0037,eldecalcitol,-6.658,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0037_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0078,MCC950,-6.608,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0078_wt.pdbqt,,top20_wt;prespecified_bms
LIB100_0033,SQ-109,-6.55,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0033_wt.pdbqt,,prespecified_bms
LIB100_0091,indirubin-3-monoxime,-6.529,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0091_wt.pdbqt,,prespecified_bms
LIB100_0074,HJC-0350,-6.525,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0074_wt.pdbqt,,prespecified_bms
LIB100_0010,gemigliptin,-6.519,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0010_wt.pdbqt,,prespecified_bms
LIB100_0023,saxagliptin,-6.455,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0023_wt.pdbqt,,prespecified_bms
LIB100_0020,pralatrexate,-6.415,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0020_wt.pdbqt,,prespecified_bms
LIB100_0045,MBX-2982,-6.412,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0045_wt.pdbqt,,prespecified_bms
LIB100_0082,Ro-3306,-6.355,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0082_wt.pdbqt,,prespecified_bms
LIB100_0059,ammonium-perfluorocaprylate,-6.283,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0059_wt.pdbqt,,prespecified_bms
LIB100_0069,BW-348U87,-6.203,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0069_wt.pdbqt,,prespecified_bms
LIB100_0038,ganetespib,-6.166,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0038_wt.pdbqt,,prespecified_bms
LIB100_0048,delphinidin,-6.148,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0048_wt.pdbqt,,prespecified_bms
LIB100_0024,sulfachlorpyridazine,-6.125,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0024_wt.pdbqt,,prespecified_bms
LIB100_0088,bilobalide,-6.101,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0088_wt.pdbqt,,prespecified_bms
LIB100_0065,"4,4'-DDT",-6.096,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0065_wt.pdbqt,,prespecified_bms
LIB100_0016,omega-3-acid-esters,-6.049,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0016_wt.pdbqt,,prespecified_bms
LIB100_0094,metaphit,-6.012,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0094_wt.pdbqt,,prespecified_bms
LIB100_0044,FK-33-824,-5.95,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0044_wt.pdbqt,,prespecified_bms
LIB100_0085,aloperine,-5.947,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0085_wt.pdbqt,,prespecified_bms
LIB100_0068,AG-1024,-5.852,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0068_wt.pdbqt,,prespecified_bms
LIB100_0015,obidoxime,-5.746,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0015_wt.pdbqt,,prespecified_bms
LIB100_0041,relugolix,-5.744,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0041_wt.pdbqt,,prespecified_bms
LIB100_0072,GNTI,-5.674,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0072_wt.pdbqt,,prespecified_bms
LIB100_0076,JNJ-42041935,-5.626,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0076_wt.pdbqt,,prespecified_bms
LIB100_0092,iodophenpropit,-5.623,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0092_wt.pdbqt,,prespecified_bms
LIB100_0098,transcrocetinate,-5.621,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0098_wt.pdbqt,,prespecified_bms
LIB100_0003,biapenem,-5.593,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0003_wt.pdbqt,,prespecified_bms
LIB100_0039,marimastat,-5.537,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0039_wt.pdbqt,,prespecified_bms
LIB100_0017,peramivir,-5.534,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0017_wt.pdbqt,,prespecified_bms
LIB100_0099,usniacin-(+),-5.533,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0099_wt.pdbqt,,prespecified_bms
LIB100_0019,pindolol,-5.461,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0019_wt.pdbqt,,prespecified_bms
LIB100_0073,GS-39783,-5.426,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0073_wt.pdbqt,,prespecified_bms
LIB100_0080,NS-3861,-5.35,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0080_wt.pdbqt,,prespecified_bms
LIB100_0064,"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",-5.253,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0064_wt.pdbqt,,prespecified_bms
LIB100_0056,CNQX,-5.244,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0056_wt.pdbqt,,prespecified_bms
LIB100_0071,GDC-0879,-5.147,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0071_wt.pdbqt,,prespecified_bms
LIB100_0051,nemazoline,-5.125,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0051_wt.pdbqt,,prespecified_bms
LIB100_0013,meclocycline-sulfosalicylate,-5.059,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0013_wt.pdbqt,,prespecified_bms
LIB100_0034,baloxavir,-5.038,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0034_wt.pdbqt,,prespecified_bms
LIB100_0066,"4,5,6,7-tetrabromobenzotriazole",-5.02,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0066_wt.pdbqt,,prespecified_bms
LIB100_0070,D609,-5.019,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0070_wt.pdbqt,,prespecified_bms
LIB100_0052,oleuropein,-4.982,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0052_wt.pdbqt,,prespecified_bms
LIB100_0086,alpha-asarone,-4.957,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0086_wt.pdbqt,,prespecified_bms
LIB100_0029,tiabendazole,-4.935,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0029_wt.pdbqt,,prespecified_bms
LIB100_0057,MKT-077,-4.85,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0057_wt.pdbqt,,prespecified_bms
LIB100_0011,halobetasol-propionate,-4.809,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0011_wt.pdbqt,,prespecified_bms
LIB100_0021,propatylnitrate,-4.807,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0021_wt.pdbqt,,prespecified_bms
LIB100_0050,lodenosine,-4.793,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0050_wt.pdbqt,,prespecified_bms
LIB100_0075,IKK-2-inhibitor,-4.773,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0075_wt.pdbqt,,prespecified_bms
LIB100_0026,temefos,-4.749,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0026_wt.pdbqt,,prespecified_bms
LIB100_0061,tifenazoxide,-4.731,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0061_wt.pdbqt,,prespecified_bms
LIB100_0004,cetrimonium,-4.691,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0004_wt.pdbqt,,prespecified_bms
LIB100_0030,topiramate,-4.618,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0030_wt.pdbqt,,prespecified_bms
LIB100_0095,soraprazan,-4.603,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0095_wt.pdbqt,,prespecified_bms
LIB100_0055,CH-170,-4.525,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0055_wt.pdbqt,,prespecified_bms
LIB100_0093,lipoamide,-4.511,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0093_wt.pdbqt,,prespecified_bms
LIB100_0058,PF-05180999,-4.444,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0058_wt.pdbqt,,prespecified_bms
LIB100_0007,diphemanil,-4.404,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0007_wt.pdbqt,,prespecified_bms
LIB100_0028,thiopental,-4.355,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0028_wt.pdbqt,,prespecified_bms
LIB100_0079,NBI-27914,-4.341,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0079_wt.pdbqt,,prespecified_bms
LIB100_0097,symclosene,-4.099,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0097_wt.pdbqt,,prespecified_bms
LIB100_0006,dihydroartemisinin,-4.09,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0006_wt.pdbqt,,prespecified_bms
LIB100_0084,U-0124,-4.062,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0084_wt.pdbqt,,prespecified_bms
LIB100_0087,ansamitocin-p-3,-4.062,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0087_wt.pdbqt,,prespecified_bms
LIB100_0089,chloralose,-3.978,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0089_wt.pdbqt,,prespecified_bms
LIB100_0040,oltipraz,-3.848,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0040_wt.pdbqt,,prespecified_bms
LIB100_0090,g-caryophyllene,-3.84,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0090_wt.pdbqt,,prespecified_bms
LIB100_0005,cyclophosphamide,-3.786,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0005_wt.pdbqt,,prespecified_bms
LIB100_0014,metrizoic-acid,-3.785,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0014_wt.pdbqt,,prespecified_bms
LIB100_0053,perzinfotel,-3.622,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0053_wt.pdbqt,,prespecified_bms
LIB100_0012,lindane,-3.605,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0012_wt.pdbqt,,prespecified_bms
LIB100_0063,"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",-3.386,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0063_wt.pdbqt,,prespecified_bms
LIB100_0008,disulfiram,-3.378,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0008_wt.pdbqt,,prespecified_bms
LIB100_0035,dimesna,-3.343,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0035_wt.pdbqt,,prespecified_bms
LIB100_0062,"1,2,3,4,5,6-hexabromocyclohexane",-3.247,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0062_wt.pdbqt,,prespecified_bms
LIB100_0025,talipexole,-3.218,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0025_wt.pdbqt,,prespecified_bms
LIB100_0001,altretamine,-3.022,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0001_wt.pdbqt,,prespecified_bms
LIB100_0096,spermine,-2.933,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0096_wt.pdbqt,,prespecified_bms
LIB100_0046,TMC647055,-2.611,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0046_wt.pdbqt,,prespecified_bms
LIB100_0022,romidepsin,-1.682,Stages/Stage 3/results/library_100_wt_pdbqt/LIB100_0022_wt.pdbqt,,prespecified_bms
