library_id,name,candidate_role,receptor_state,seed,affinity,output_pdbqt
LIB100_0067,4E1RCat,mutation_ranked_finalist,W730A,42,-6.975,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0067_W730A_seed_42.pdbqt
LIB100_0067,4E1RCat,mutation_ranked_finalist,W730A,101,-6.995,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0067_W730A_seed_101.pdbqt
LIB100_0067,4E1RCat,mutation_ranked_finalist,W730A,999,-6.974,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0067_W730A_seed_999.pdbqt
LIB100_0067,4E1RCat,mutation_ranked_finalist,W730A,1234,-6.984,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0067_W730A_seed_1234.pdbqt
LIB100_0067,4E1RCat,mutation_ranked_finalist,W730A,2023,-6.983,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0067_W730A_seed_2023.pdbqt
LIB100_0067,4E1RCat,mutation_ranked_finalist,WT,42,-7.169,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0067_WT_seed_42.pdbqt
LIB100_0067,4E1RCat,mutation_ranked_finalist,WT,101,-7.172,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0067_WT_seed_101.pdbqt
LIB100_0067,4E1RCat,mutation_ranked_finalist,WT,999,-7.177,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0067_WT_seed_999.pdbqt
LIB100_0067,4E1RCat,mutation_ranked_finalist,WT,1234,-7.147,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0067_WT_seed_1234.pdbqt
LIB100_0067,4E1RCat,mutation_ranked_finalist,WT,2023,-7.168,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0067_WT_seed_2023.pdbqt
LIB100_0031,BMS-986205,prespecified_bms,W730A,42,-7.454,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0031_W730A_seed_42.pdbqt
