library_id,name,receptor_state,count,mean_affinity,sd_affinity,seed_values,delta_affinity,propagated_error,rank_stability
COMPARATOR_ERDRP,ERDRP-0519,W730A,5,-6.5234,0.007503332592921843,42:-6.527; 101:-6.532; 999:-6.525; 1234:-6.521; 2023:-6.512,0.10580000000000034,0.09581231653602795,7
COMPARATOR_ERDRP,ERDRP-0519,WT,5,-6.6292,0.09551806111935068,42:-6.684; 101:-6.579; 999:-6.484; 1234:-6.698; 2023:-6.701,0.10580000000000034,0.09581231653602795,6
LIB100_0002,bendroflumethiazide,W730A,5,-7.4334,0.005899152481500951,42:-7.441; 101:-7.428; 999:-7.428; 1234:-7.438; 2023:-7.432,0.3410000000000002,0.010251829105091474,4
LIB100_0002,bendroflumethiazide,WT,5,-7.7744,0.008384509526501943,42:-7.760; 101:-7.774; 999:-7.779; 1234:-7.779; 2023:-7.780,0.3410000000000002,0.010251829105091474,3
LIB100_0009,epinastine,W730A,5,-8.2832,0.005848076606885812,42:-8.287; 101:-8.284; 999:-8.273; 1234:-8.285; 2023:-8.287,-0.23140000000000072,0.008420213774008834,1
LIB100_0009,epinastine,WT,5,-8.0518,0.0060580524923446325,42:-8.051; 101:-8.057; 999:-8.043; 1234:-8.058; 2023:-8.050,-0.23140000000000072,0.008420213774008834,1
LIB100_0031,BMS-986205,W730A,5,-7.4592,0.021300234740490788,42:-7.454; 101:-7.435; 999:-7.493; 1234:-7.462; 2023:-7.452,0.2622,0.021988633427296296,3
LIB100_0031,BMS-986205,WT,5,-7.7214,0.005458937625582604,42:-7.724; 101:-7.726; 999:-7.722; 1234:-7.712; 2023:-7.723,0.2622,0.021988633427296296,4
LIB100_0037,eldecalcitol,W730A,5,-6.554,0.06876408946535982,42:-6.614; 101:-6.642; 999:-6.494; 1234:-6.503; 2023:-6.517,0.023399999999999643,0.1664475893487195,6
LIB100_0037,eldecalcitol,WT,5,-6.5774,0.1515793521558921,42:-6.658; 101:-6.646; 999:-6.627; 1234:-6.307; 2023:-6.649,0.023399999999999643,0.1664475893487195,7
LIB100_0054,siramesine,W730A,5,-8.1448,0.007823042886243055,42:-8.147; 101:-8.149; 999:-8.131; 1234:-8.147; 2023:-8.150,-0.2687999999999997,0.04793433007772209,2
LIB100_0054,siramesine,WT,5,-7.876,0.04729164831130349,42:-7.923; 101:-7.858; 999:-7.824; 1234:-7.929; 2023:-7.846,-0.2687999999999997,0.04793433007772209,2
LIB100_0067,4E1RCat,W730A,5,-6.9822,0.008467585252006677,42:-6.975; 101:-6.995; 999:-6.974; 1234:-6.984; 2023:-6.983,0.18440000000000012,0.014282856857085538,5
LIB100_0067,4E1RCat,WT,5,-7.1666,0.011502173707608246,42:-7.169; 101:-7.172; 999:-7.177; 1234:-7.147; 2023:-7.168,0.18440000000000012,0.014282856857085538,5
